1007,Aloka Pharmacy,718027507,Ambalanthota,Hambantota
1008,Medi First Pharmacy,712198329,"40, Main St, Ambalanthota",Hambantota
1009,New Wijerathna Pharmacy,705222835,"Main St, Hungama",Hambantota
1010,Sanduni Pharmacy & Grocery,472225173,"No.5/B, Waduruppa Road, Ambalanthota",Hambantota
1011,Sithari Pharmacy,716411727,Ambalanthota,Hambantota
1012,S.N.A. Pharmacy,727840569,Ambalantota,Hambantota
1013,Asiri Pharmacy,717266220,Beliatta,Hambantota
1014,Neptune Pharmacy,712323134,"Walasmulla Road, Beliatta",Hambantota
1015,Wanigasekara Pharmacy,714454148,Beliatta,Hambantota
1016,New Chandana Pharmacy,713403258,"54,Tangalle Rd,Beliatta",Hambantota
1017,Jayasingha Pharmacy,776929818,"16, Jail Road, Hambanthota",Hambantota
1018,Jeewaka Pharmacy,77012063,"1, Barrak Street, Hambanthota",Hambantota
1019,Rajya Osusala,472222163,"3, Barrack Street, Hambanthota",Hambantota
1020,Kodikara Pharmacy,718829614,"Weeraketiya Rd., Middeniya",Hambantota
1021,Midco Pharmacy,718367617,Middeniya,Hambantota
1022,Nisala Pharmacy,776820521,Katuwana,Hambantota
1023,Sobasee Pharmacy,702017263,"Middeniya Road, Katuwana",Hambantota
1024,Medicare Pharmacy,714857789,"Weeravila Junction, Weeravila",Hambantota
1025,Arogya Pharmacy,718082620,Tangalle,Hambantota
1026,Gamage Pharmacy,718082620,Ranna,Hambantota
1027,Nimron pharmacy,714960813,"138, Matara Rd, Tangalle",Hambantota
1028,Rajya Osusala,472241221,"No 08, Indipokunagoda Road, Tangalle.",Hambantota
1029,Sanduni Pharmaceuticals (Pvt) Ltd,710770547,"Tissa Road, Tangalle",Hambantota
1030,Dedunu Pharmacy,775239681,Thissamaharama,Hambantota
1031,Leo Pharmacy,716877524,"437, Debarawewa",Hambantota
1032,Medi care Pharmacy,701035578,Weerawila,Hambantota
1033,Medro Pharmacy,717239658,"01, Public Market, Debarawewa",Hambantota
1034,New Union Pharmacy,717136886,Walasmulla,Hambantota
1035,Sajeewa Pharmacy & Grocery,718208244,"No. 33, Middeniya Road,Walasmulla.",Hambantota
1036,Sri Ramya Pharmacy,716676688,Walasmulla,Hambantota
1037,Walasmulla medical stores,758914473,"4,Middeniya Rd Walasmulla",Hambantota
1038,Janasetha Pharmacy,772206732,"No 122, Tangalle Rd, Weeraketiya",Hambantota
1039,Lanka Pharmacy & Channel Centre,770438060,"Main Street, Sooriyawewa",Hambantota
1040,Ruhunu Pharmacy,770451952,"Main St, Sooriyawewa",Hambantota
1041,Madushan pharmacy,715769053,"2201,Main Street Sooriyawewa",Hambantota
1042,Sethsuwa Pharmacy,703345697,Agunukolapelassa,Hambantota
1043,Asiri Pharmacy,717202600,"Hungama Road, Agunukolapelessa",Hambantota
