1044,Bharathy Medical Pharmacy,212216985,"402, Hospital Road",Jaffna
1045,City Medical Care Pharmacy,212212661,Hospital Road,Jaffna
1046,Jegan Pharmacy,212223191,"462, Hospital Road",Jaffna
1047,Rajya Osusala,212219262,"Jaffna Teaching Hospital Premises, Jaffna",Jaffna
1048,Ratnam Pharmacy,212222667,"384, Hospital Road",Jaffna
1049,Vasantham Pharmacy,NaN,765887252,Jaffna
1050,Wesco Super Mart,NaN,777323702,Jaffna
1051,Royal Pharmacy,777917987,Hospital Road,Jaffna
1052,Akaram Pharmacy,766357360,Kopay,Jaffna
1053,Sooriya Pharmacy,777220812,Atchuvely town,Jaffna
1054,Sukam Pharmacy,773289067,Aavirankal,Jaffna
1055,Super Drugs,777242307,Urumpirai,Jaffna
1056,Vasanthy Pharmacy,776309155,Urumbirai Junction,Jaffna
1057,S.K. Pharmacy,772600093,Irupalai,Jaffna
1058,Sri Murugan Pharmacy,772299931,"Pointpedro road, Kalviyankadu",Jaffna
1059,Arokiya,710385102,Kondavil west,Jaffna
1060,Arokyaa Pharmacy,772336314,Kokuvil,Jaffna
1061,Kurunchi,212212238,Thirunelveli,Jaffna
1062,Northern Drug mart,772700190,Kodavil Eest Junction,Jaffna
1063,Get Well Pharmacy,777774072,Nachimarkovil,Jaffna
1064,Sri Murugan Medicals,NaN,Kalviyankadu,Jaffna
1065,Annai Medicals,776466326,Point Pedro,Jaffna
1066,Sannithy Medical Pharmacy,776558237,Point Pedro town,Jaffna
1067,SriMurugan Pharmacy,775581531,Point Pedro town,Jaffna
1068,Sunthiri Pharmacy,783568336,Velvetithurai,Jaffna
1069,Sunthary Medicals,NaN,Valvetithurai,Jaffna
1070,Thanam Medical,778075051,Maruthady,Jaffna
1071,Majury Pharmacy,772102125,"7th Mile post, Main road Sandilipay",Jaffna
1072,Manipay Medicals Pharmacy,771275264,Manipay town,Jaffna
1073,Nature Pharmacy,778830308,Pandatherupu,Jaffna
1074,Gnanam Medi Care,777305033,Manipay,Jaffna
1075,Jeevan Pharmacy,779458612,"52, Subramaniyam Road, Chunnakam Junction.",Jaffna
1076,Luxhan Pharmacy,766252796,"K.K.S. Road, Chunnakam Junction",Jaffna
1077,Paramsothy Pharmacy,779557830,22 c Manipay Rd. Maruthanarmadam,Jaffna
1078,Shanmuga Medicals,777173691,Chunnakam,Jaffna
1079,Ambika Pharmacy,776691232,Inuvil,Jaffna
1080,Medicare Pharmacy,714806309,"KKS Road, Chunnakam",Jaffna
1081,Western Pharmacy,776589659,Mainstreet chankanai,Jaffna
1082,Ambika,779133757,Chavakachcheri Town,Jaffna
1083,City Medicals,212057092,Chavakachcheri Town,Jaffna
1084,Londan,777132949,Chavakachcheri Town,Jaffna
1085,Positif Pharmaceutical,212057092,kaithady Junction,Jaffna
1086,Shathy,776648703,Kodikamam,Jaffna
1087,Nelliyady Medicals,212262975,Nelliyady Town,Jaffna
1088,New Luxii Pharmacy,772222034,"Main street Mali santhy, Karaveddy",Jaffna
1089,Srimurugan,212265458,Nelliyady Town,Jaffna
1090,Thiru Nadana Murugan,774239659,Nelliyady,Jaffna
1091,V. Zone Medicals,212261583,Nelliyady Town,Jaffna
1092,Aerokiya,769064722,Maruthankerny Junction,Jaffna
1093,Life Care Pharmacy,764671013,Tellipalai,Jaffna
1094,Aradana,774025237,Tellipalai,Jaffna
1095,Jasmine,775501555,Mallakam,Jaffna
1096,Niru Medicals,777243091,Allavetti,Jaffna
1097,Nelliady Medicals,NaN,Nelliady,Jaffna
1098,Thiru Nadana Murugan,NaN,Nelliady,Jaffna
1099,V Zone Medicals,NaN,Nelliady,Jaffna
