1411,Globe Pharmacy,NaN,767717721,Kegalle
1412,Cresent Pharmacy,771925884,"733, Srimali Building, Dippitiya, Aranayake",Kegalle
1413,Global Pharmacy,355999979,"560, Dippitiya, Aranayake",Kegalle
1414,Orient Pharmacy,777846908,"400/1, Dippitiya, Aranayake",Kegalle
1415,Janahitha Pharmacy and Baby Care,729009400,"50, Infront of Bustand, Bulathkohupitiya",Kegalle
1416,Sethma Pharmacy,727065700,"66, Kegalle Rd, Bulathkohupitiya",Kegalle
1417,Dilneth Pharmacy,NaN,776171041,Kegalle
1418,Pubudu pharmacy,775302105,"No.138, main street, Dehiowita.",Kegalle
1419,S.V.S. Pharmacy,779338561,"984,Yatiyanthota rd, Thaladuwa.",Kegalle
1420,Darsana Pharmacy,NaN,712664470,Kegalle
1421,Tharanga Pharmacy,NaN,774957007,Kegalle
1422,Sri Wijaya Pharmacy,712315125,"No.81, Noory Rd, Daraniyagala.",Kegalle
1423,Dewalegama Pharmacy,352229211,"45, Dewalegama",Kegalle
1424,Dilru Pharmacy and Grocery,716832726,"Kegalle Rd, Dewalegama",Kegalle
1425,Nelumdeniya Pharmacy,NaN,713923282,Kegalle
1426,New Galigamuwa Pharmacy,NaN,776946297,Kegalle
1427,New Kotiyakubura Pharmacy,352288960,"62, Main Street Street, Kotiyakubura",Kegalle
1428,Sethsuwa Pharmacy,352289351,"47a, Main Street, Kotiyakumbura",Kegalle
1429,Chanel Pharmacy,NaN,776563024,Kegalle
1430,Liberty Pharmacy,NaN,779725420,Kegalle
1431,Ruwanwella Pharmacy,NaN,711132872,Kegalle
1432,Asiri Medical,NaN,727578812,Kegalle
1433,City Chemist pharmacy,NaN,"27 A, Main Street, kegalle.",Kegalle
1434,Kandy Medical pharmacy,NaN,"126, kalugalla mawatha, kegalle.",Kegalle
1435,Kris Medical,NaN,716892433,Kegalle
1436,Sabaragamuwa Osusala,770055318,"No.05, Main Street, Kegalle",Kegalle
1437,Arogya Pharmacy,718231488,"134, Walimanthota, kegalle.",Kegalle
1438,New Sabaragamuwa Osusala,777664464,"287/A/3, Bandaranayaka Mw, Kegalle.",Kegalle
1439,Rainbow Pharmacy,718231488,"No 261, Mainstreet, Kegalle",Kegalle
1440,Ayodya Pharmacy,770286502,"No.54, Kalugalla Mw, Kegalle.",Kegalle
1441,Asiri Pharmacy,717131737,"8/1, Hemmathagama, Mawanella",Kegalle
1442,Kandy Medical,352247009,"New Shopping Complex, Mawanella",Kegalle
1443,Medisewana Hospital (pvt) Ltd,352246230,"160, New Kandy Road, Mawanella",Kegalle
1444,New City Pharmacy,352257527,"71/1,13/1, Gampola Rd, Hemmathagama",Kegalle
1445,United pharmacy,352247023,"26, Rambukkana Rd, Mawanella",Kegalle
1446,Rainbow Pharmacy,760613427,Corporative Building Main St Mawanella,Kegalle
1447,Food City -Mawanella,352248008,"No.22/C ,Kandy Road Mawanella.",Kegalle
1448,Darsana Pharmacy,NaN,714964478,Kegalle
1449,Kalani Pharmacy,NaN,772803531,Kegalle
1450,Rejency Pharmacy,NaN,718036730,Kegalle
1451,H.M.T. Pharmacy,771557462,"No.09, Mawanella Rd, Rambukkana.",Kegalle
1452,Janahitha Pharmacy,779878023,"no.46,Hospital Rd, Rambukkana.",Kegalle
1453,Jeewaka pharmacy,714967887,"153/B, Hiriwadunna junction,Rambukkana.",Kegalle
1454,Anguruwella Pharmacy,362266339,"Doranuwa, Ruwanwella",Kegalle
1455,Aruna Pharmacy & Grocery,362267071,"Gonagaldeniya Waharaka, Ruwanwella",Kegalle
1456,Chanaka Pharmacy,711269580,"286 c, Kegalle Rd, Anguruwella",Kegalle
1457,City Medicals - distributors (pvt) Ltd,362267378,"No 28a, Veyangoda Rd, Ruwanwella",Kegalle
1458,Liberty Pharmacy,364926601,"131, Main Street Street, Ruwanwella",Kegalle
1459,Life Pharmacy,NaN,776356170,Kegalle
1460,Sanjewani Pharmacy,NaN,772261601,Kegalle
1461,The Life Chemist,770200845,"No 142/A, Kandy Rd, Warakapola",Kegalle
1462,Trust Pharmacy,NaN,775103055,Kegalle
1463,Sidisi pharmacy,775752706,"Near Bus Stand, warakapola.",Kegalle
1464,Kithulgala Pharmacy,716336725,"13, Ahatton Rd, Kithulgala",Kegalle
1465,New Yatiyanthota Pharmacy,716486161,"Hatton Rd ,Yatiyanthota",Kegalle
1466,Sunilal Pharmacy,775338575,"No 6, Super Market Complex, Yatiyanthota",Kegalle
