1555,N.I.V. Pharmacy,719005888,"102, Kandalama Road, Dambulla",Matale
1556,Rajya Osusala,662285133,"No. 46/A, Kurunegala Junction, Dambulla.",Matale
1557,Uniq Pharmacy,776263000,"Kimbissa Junction, Kimbissa",Matale
1558,Dharshana Pharmacy,715351475,"3/60, Kurunegala Road, Dambulla",Matale
1559,Harcourts Pharmacy,778587621,"68, Kurunegala Road, Dambulla",Matale
1560,Kakirawa Osusala Dambulla,719711234,"Kurunrgala Junction, Dambulla",Matale
1561,Mahajjana Pharmacy,705765757,"Pubuduggama, Delgoda, Kalawana",Matale
1562,Sugath Pharmacy,724958525,"492, New Bus Stand, Dambulla",Matale
1563,Food City -Dambulla,662283240,"643, Anuradhapura Road, Dambulla",Matale
1564,Galewela New Pharmacy,773493867,"264, Dambulla Road, Galewela",Matale
1565,Gaminirathna Pharmacy,773455025,"Dambulla Road, Galewela",Matale
1566,New Lucky Pharmacy,702900277,"1/122, Dambulla Road, Galewela",Matale
1567,New Sithumina Pharmacy,773896780,"248, Dambulla Road,Galewela",Matale
1568,Arogya Pharmacy,715439582,"403C, Dambulla Road, Palapathwala",Matale
1569,Ashen Pharmay,718049629,"93A, Madawalaulpotha, Matale",Matale
1570,Ceylon Medicals,778223393,"167,2nd mile post,Matale",Matale
1571,Dimuthu Pharmacy,714638251,"No 30, Kandy Rd, Mathale",Matale
1572,Leo Pharmacy,777856667,"12A,Harisonjones road,Matale",Matale
1573,Rajya Osusala,662220126,"No. 110, Darmapala Mw, Mathale.",Matale
1574,Samadara Pharmacy,774313562,"7, Matale Road, Palapathwala",Matale
1575,Spencer Medicals,777946948,"491,Main st,Matale",Matale
1576,City Pharmacy,773079124,"50/31, Kohombiliwela, Matale",Matale
1577,Malvanna Pharmacy,662230008,"49, Dharmapala Mw, Matale",Matale
1578,Matale Medicals Pharmacy,665679873,"45, Dharmapala Mw, Matale",Matale
1579,Mecaw Pharmacy,777250161,"2C, Godapola Road, Matale",Matale
1580,Western Pharmacy,662223134,"06, Meezan Complex, Matale",Matale
1581,Yoga Pharmacy,773015080,"612C,Trincomalee St, Matale",Matale
1582,Jayasekara Pharmacy,777649511,"11/1, Dambulla Road, Naula",Matale
1583,Royal Pharmacy,710184007,"03, Elahera Road, Naula",Matale
1584,Soorya Pharmacy,768358836,"106D, Dambulla Road, Nalanda",Matale
1585,Central Stores & Pharmacy,662247585,"47, Akurambod Rd, Pallepola",Matale
1586,Weerarathna Pharmacy,719309167,"31, Akuramboda Rd,Pallepola",Matale
1587,Lahiru Pharmacy,779630850,"771, Matale Road, Rattota",Matale
1588,Sirisara Pharmacy,775014605,"74, Matale Road, Rattota",Matale
1589,Sethsiri Pharmacy,662242165,"7/1, Matale Road,Ukuwela",Matale
1590,Thushara Pharmacy,772350086,"89/B, Elwala Junction, Ukuwela, Matale",Matale
1591,Ukuwela Medical,704445505,"35, Elkaduwa Road, Ukuwela",Matale
1592,Dineth Pharmacy,712835836,"Fair Junction, Hettipola",Matale
1593,Kandegedara Baby Care Pharmacy,707805805,"Hettipola, Wilgamuwa",Matale
1594,Supun Pharmacy,726269950,"01, Yelakkaraya, Yatawatta",Matale
