1709,Lanka Pharmacy,775113218,Hatton,Nuwara-Eliya
1710,New City Medical,777723516,Hatton,Nuwara-Eliya
1711,Uma Enterprises,NaN,777519255,Nuwara-Eliya
1712,H C.C. Pharmacy,777771708,"Hatton Channelling Center, Hatton",Nuwara-Eliya
1713,Lanka Pharmacy,775113218,"Side Street, Hatton",Nuwara-Eliya
1714,New City Pharmacy,777723516,Hatton,Nuwara-Eliya
1715,Ranjanas Harmacy,772315131,Ginigathhena,Nuwara-Eliya
1716,Uma Pharmacy,777751925,Main Street. Hatton,Nuwara-Eliya
1717,Bogo Medical,712983984,Bogowantalawa,Nuwara-Eliya
1718,Bogo Medaical,522267637,"Main Sstreet, Bagawantalwa",Nuwara-Eliya
1719,Visalatchi Pharmacy,NaN,762558295,Nuwara-Eliya
1720,Binuthi Pharmacy,777894214,Thalawakele,Nuwara-Eliya
1721,New Lanka Pharmacy,774970710,Thalawakele,Nuwara-Eliya
1722,Poojee Pharmacy,727499271,Thalawakele,Nuwara-Eliya
1723,Siyab Pharmacy,769772089,Thalawakele,Nuwara-Eliya
1724,Prince Pharmacy,775208287,Habugasthalawa,Nuwara-Eliya
1725,Aruna Pharmacy,772012300,Thawalantenna,Nuwara-Eliya
1726,I Indarasena Pharamacy,771932187,Poodaluoya,Nuwara-Eliya
1727,Satya Pharmacy,776272471,Poodaluoya,Nuwara-Eliya
1728,Lanka Pharmacy,774970710,Talawakelle,Nuwara-Eliya
1729,Shiyab Pharmacy,769772089,Talawakelle,Nuwara-Eliya
1730,Dayagama Pharamacy,772054600,Main Street Dayagama,Nuwara-Eliya
1731,Saraswathie Medicals,512230105,"No 05, Main Street, Agarapathana",Nuwara-Eliya
1732,Durga Pharmacy,774921930,Maskeliya,Nuwara-Eliya
1733,Durga Pharmacy,774921930,"Main Street, Maskeliya",Nuwara-Eliya
1734,New Thirumagal Pharmacy,522277395,"79, Main Street, Maskeliya",Nuwara-Eliya
1735,Jayanthi Pharmacy,711211366,Rikillagaskada,Nuwara-Eliya
1736,Jayanyhi Pharmacy,522287089,"Main Sreet,Padiyapellala",Nuwara-Eliya
1737,Lanka Pharmacy,773535537,"No 83, Kotmale Rd, Nawalapitiya",Nuwara-Eliya
1738,New Royal Pharmacy,777919530,"No 101, Kotmale Rd, Nawalapitiya",Nuwara-Eliya
1739,Ambiga Medicals,779887870,Nuwara-Eliya,Nuwara-Eliya
1740,Medici Pharmacy and Dispensary,NaN,722925886,Nuwara-Eliya
1741,New City Pharmacy,725680114,13/1. Hospital Road.Hwaeliya,Nuwara-Eliya
1742,Ntv Pharmacy,719013549,"Kandapola,",Nuwara-Eliya
1743,Suwara Pharmacy,718167443,Hospital Road.Hwaeliya,Nuwara-Eliya
1744,Food City -NuwaraEliya,522222741,"90, Kandy Road, Nuwara Eliya",Nuwara-Eliya
1745,Mackie Medicals,777898692,Nuwara-Eliya,Nuwara-Eliya
1746,Selvas Pharmacy,779699490,Nuwara-Eliya,Nuwara-Eliya
1747,Ambiga Pharamacy,779887870,"No 05, Main Street Nuwaraeliy",Nuwara-Eliya
1748,Ideal Pharmacy,NaN,779121832,Nuwara-Eliya
1749,Macky Pharmacy,NaN,777898692,Nuwara-Eliya
1750,Medisi Pharmacy,NaN,722925886,Nuwara-Eliya
1751,Selvas Pharmacy,779699490,"No 12, Main Street,Nuraeliya`",Nuwara-Eliya
1752,Gunasekara Pharmacy,767469598,Walapane,Nuwara-Eliya
1753,Chaminda Pharmacy,718167444,"Bus Stand ,Nildannahinna",Nuwara-Eliya
1754,Gunasekara Pharamacy,767469598,"Bus Stand, Walapane",Nuwara-Eliya
1755,Asiri Pharmacy,717766590,"53,Kandy Road,Rikllagaskada.Chanda",Nuwara-Eliya
1756,Chandana Pharmacy,772569870,"Poramadulla Road,Rikillagakada",Nuwara-Eliya
1757,Chandanee Pharmacy,772257411,Bus Stand Rikillagaskada.,Nuwara-Eliya
1758,Imasha Pharamacy,771609193,"Hospital Junction,Rillagakada",Nuwara-Eliya
1759,Prince Pharamacy,775208287,Hapugatalawa,Nuwara-Eliya
1760,Central Pharmacy,767694131,"No 14,Bold Bus Stand ,Ragala",Nuwara-Eliya
1761,City Pharmacy,766653333,"St Maret Bazar,Udaussllwa",Nuwara-Eliya
1762,R.V Medical,777362957,"St Magret Bazar , Udapussellwa",Nuwara-Eliya
1763,Satyam Pharamcy,702985165,"Upper Street ,Ragala",Nuwara-Eliya
