1888,ASK Pharmacy,711377965,"No.56D,Kalawana rd, Ayagama",Ratnapura
1889,Ayagama Pharmacy,775070957,"Gavaragiriya Rd, Ayagama",Ratnapura
1890,Aroma Osusala,452287405,"93, Thumbagoda, Balangoda.",Ratnapura
1891,EAL Fernando & Sons Pharmacy,452287102,"No.252, Ratnapura Rd, Balangoda.",Ratnapura
1892,Healthway Pharmacy,716817373,"No.245, Kalthota Rd, Miriswaththa, Balangoda.",Ratnapura
1893,Janalanka Pharmacy,775826542,"No.51, Old rd, Balangoda.",Ratnapura
1894,New MC Pharmacy & Grocery,452289460,"40/A/1/1, Old Rd, Balangoda.",Ratnapura
1895,New Pharmacy & Grocery,452289717,"No.217/9/C/1, Rathna Building, Bus Stand",Ratnapura
1896,Medicare Pahrmacy,777809428,"No 203, Ratnapura Rd, Eheliyagoda",Ratnapura
1897,Nirogya Pharmacy,716905850,"No 83, Iddamalgoda Rd, Meennanna, Getaheththa",Ratnapura
1898,Suwasetha Pharmacy,777235425,"No.251, Main Street, Eheliyagoda",Ratnapura
1899,Thusitha Pharmacy,718238620,"No169, Main Street, Eheliyagoda",Ratnapura
1900,Prabodha Pharmacy,715735566,"No.104,Main Street,Ehaliyagoda",Ratnapura
1901,Jayarathna Pharmacy,774474728,"Infront of Hospital, Embilipitiya",Ratnapura
1902,Mahanama Pahrmacy,77335005,"Infront of the Bus Stand, Pallegama, Embilipitiya",Ratnapura
1903,Rajya Osusala,472261177,"66, Main Street, Pallegama, Embilipitiya",Ratnapura
1904,Rajapaksha Pharmacy,716855793,"Infront of the Hospital, Padalangala",Ratnapura
1905,Thimira Pharmacy,763158505,"Near the Clock tower, Pallegama, Embilipitiya",Ratnapura
1906,Indika Pharmacy,789995174,"Pallegama,Embilipitiya",Ratnapura
1907,Chamila Pharmacy,714485921,"New town rd, Pallegama,Embilipitiya",Ratnapura
1908,Global Pharmacy,766704627,"No.28, Main Street, Godakawela",Ratnapura
1909,Godakawela Pharmacy,452246314,"No.7, Supermarket, Godakawela.",Ratnapura
1910,New Pharmacy & Grocery,773361561,"No.32/b, Deniyaya Rd, Rakwana",Ratnapura
1911,The Island Medicals,778005583,"Near the Hospital, Godakawela",Ratnapura
1912,Chandra Food City,773536047,"No.108,Main Street,Godakawela",Ratnapura
1913,Madumini Pharmacy & Grocery,717470717,"Near the hospital,Diurumpole,Godakawela",Ratnapura
1914,Nirma Pharmacy,778180663,"480/A, Oluganthota, Balangoda.",Ratnapura
1915,Golden Pharmacy,712009217,"No.135/B, Main Street, Kahawatta",Ratnapura
1916,Roshan Pharmacy,718437764,"No 116, Main street, Kahawatta",Ratnapura
1917,Suwamadura Pharmacy,771517418,"No.827,Main Street,Kahawatta",Ratnapura
1918,New Medicare Pharmacy,773480548,"Hospital Road, Kalawana.",Ratnapura
1919,Shalinka Pharmacy,452255205,"No.53/18, Hospital Road, Kalawana.",Ratnapura
1920,Suranjan Pharmacy,711133786,"No.1/33, Idangoda, Kiriella.",Ratnapura
1921,Chandani Pharmacy,777642733,"Hospital Junction, New town, Kolonna",Ratnapura
1922,Disana Pharmacy,766057888,"Sooriyakanda, Buluthota",Ratnapura
1923,Darshana Pharmacy & Grocery,713282556,"Ratnapura Rd, Parakaduwa.",Ratnapura
1924,Iresha Pharmacy & Grocery,452263014,"No.45/B, Main Street, Kuruwita.",Ratnapura
1925,Kuruwita Pharmacy & Grocery,715452455,"No.54/A, Main Street, Kuruwita.",Ratnapura
1926,Sujatha pharmacy,702288166,"Delgaslanga, Opanayaka",Ratnapura
1927,Buddhika Pharmacy,452230735,"No.24, Bus Stand Rd, Ratnapura",Ratnapura
1928,Dinujaya Super Centre,453470599,"No.344/a, Colombo Rd, Ratnapura",Ratnapura
1929,Mahanama Pharmacy,452232832,"No.03, Main Street, Ratnapura",Ratnapura
1930,Medilan Pharmacy,452222543,"No.84, Goodsshed Rd, Ratnapura",Ratnapura
1931,New Intalio Pharmacy,714413502,"No95/1,B, Inner Circular rd, Ratnapura",Ratnapura
1932,Rajya Osusala,NaN,"32, Nanda Ellawala Mw, Rathnapura",Ratnapura
1933,SOS Pharmacy & Supermarket,452225865,"No.4, Supermarket, Ratnapura",Ratnapura
1934,Arogya Pharmacy,776998088,"No.291,Main street,Ehaliyagoda",Ratnapura
1935,New Pubudu Pharmacy & Grocery,713663052,"No. 62/1/1, Pothgul Vihara Mawatha, Ratnapura",Ratnapura
1936,Jayaruwan Pharmacy,719930264,"No.24/1/1, Main Street,Ratnapura",Ratnapura
1937,New UK Pharmacy,452221119,"No.372, Kudugalwatta,Ratnapura",Ratnapura
1938,Ruwanpura Stores Pharmacy,773101826,"No.237,Main Street,Ratnapura",Ratnapura
1939,Thusitha Pharmacy,773685839,"No.336,Hospital Junction,Colombo rd,Ratnapura",Ratnapura
1940,Athugala Pharmacy,714444875,"Udawalawa Junction, Kolambage-ara",Ratnapura
1941,Ishara Pharmacy,453453533,"Main Street, Pallebadda",Ratnapura
1942,The Island Medicals,452241117,"Hospital Road, Pallebadda.",Ratnapura
1943,Isuru Pharmacy,773324201,"Weligepola, Balangoda",Ratnapura
1944,Metroy Stores & Pharmacy,714254577,"No.64, Main Street, Palmadulla",Ratnapura
1945,New CND pharmacy,773017178,"No74,Main street,Pelmadulla",Ratnapura
